Component Name,Package Name,Has Testing Export,Has Testing Directory,Status,Priority
a11y,@skyux/a11y,No,Yes,LEGACY_FIXTURES_ONLY,LOW
action-bars,@skyux/action-bars,Yes,Yes,HAS_HARNESS,LOW
ag-grid,@skyux/ag-grid,No,No,NO_TESTING,LOW
angular-tree-component,@skyux/angular-tree-component,No,No,NO_TESTING,LOW
animations,@skyux/animations,No,No,NO_TESTING,LOW
assets,@skyux/assets,No,No,NO_TESTING,LOW
autonumeric,@skyux/autonumeric,No,No,NO_TESTING,LOW
avatar,@skyux/avatar,Yes,Yes,HAS_HARNESS,LOW
code-examples,@skyux/code-examples,No,No,NO_TESTING,LOW
colorpicker,@skyux/colorpicker,Yes,Yes,HAS_HARNESS,LOW
config,@skyux/config,No,No,NO_TESTING,LOW
core,@skyux/core,Yes,Yes,HAS_HARNESS,LOW
data-manager,@skyux/data-manager,Yes,Yes,HAS_HARNESS,HIGH
datetime,@skyux/datetime,Yes,Yes,HAS_HARNESS,HIGH
docs-tools,@skyux/docs-tools,No,No,NO_TESTING,LOW
errors,@skyux/errors,Yes,Yes,HAS_HARNESS,LOW
filter-bar,@skyux/filter-bar,No,Yes,LEGACY_FIXTURES_ONLY,LOW
filter-bar-testing,@skyux/filter-bar-testing,No,No,NO_TESTING,LOW
flyout,@skyux/flyout,Yes,Yes,HAS_HARNESS,LOW
forms,@skyux/forms,Yes,Yes,HAS_HARNESS,HIGH
grids,@skyux/grids,No,Yes,LEGACY_FIXTURES_ONLY,HIGH
help-inline,@skyux/help-inline,Yes,Yes,HAS_HARNESS,LOW
i18n,@skyux/i18n,No,No,NO_TESTING,LOW
icon,@skyux/icon,Yes,Yes,HAS_HARNESS,LOW
indicators,@skyux/indicators,Yes,Yes,HAS_HARNESS,MEDIUM
inline-form,@skyux/inline-form,Yes,Yes,HAS_HARNESS,LOW
layout,@skyux/layout,Yes,Yes,HAS_HARNESS,MEDIUM
list-builder,@skyux/list-builder,No,No,NO_TESTING,LOW
list-builder-common,@skyux/list-builder-common,No,No,NO_TESTING,LOW
list-builder-view-checklist,@skyux/list-builder-view-checklist,Yes,Yes,HAS_HARNESS,LOW
list-builder-view-grids,@skyux/list-builder-view-grids,Yes,Yes,HAS_HARNESS,LOW
lists,@skyux/lists,Yes,Yes,HAS_HARNESS,LOW
lookup,@skyux/lookup,Yes,Yes,HAS_HARNESS,HIGH
manifest,@skyux/manifest,No,No,NO_TESTING,LOW
manifest-local,@skyux/manifest-local,No,No,NO_TESTING,LOW
modals,@skyux/modals,Yes,Yes,HAS_HARNESS,HIGH
navbar,@skyux/navbar,Yes,Yes,HAS_HARNESS,LOW
packages,@skyux/packages,No,No,NO_TESTING,LOW
pages,@skyux/pages,Yes,Yes,HAS_HARNESS,LOW
phone-field,@skyux/phone-field,Yes,Yes,HAS_HARNESS,LOW
popovers,@skyux/popovers,Yes,Yes,HAS_HARNESS,MEDIUM
progress-indicator,@skyux/progress-indicator,Yes,Yes,HAS_HARNESS,LOW
router,@skyux/router,Yes,Yes,HAS_HARNESS,LOW
select-field,@skyux/select-field,No,No,NO_TESTING,LOW
split-view,@skyux/split-view,Yes,Yes,HAS_HARNESS,LOW
storybook,@skyux/storybook,No,No,NO_TESTING,LOW
storybook/components,@skyux/storybook/components,No,No,NO_TESTING,LOW
storybook/font-loading,@skyux/storybook/font-loading,No,No,NO_TESTING,LOW
tabs,@skyux/tabs,Yes,Yes,HAS_HARNESS,MEDIUM
text-editor,@skyux/text-editor,No,No,NO_TESTING,LOW
theme,@skyux/theme,No,No,NO_TESTING,LOW
tiles,@skyux/tiles,Yes,Yes,HAS_HARNESS,MEDIUM
toast,@skyux/toast,Yes,Yes,HAS_HARNESS,LOW
validation,@skyux/validation,No,No,NO_TESTING,LOW
